id,name,long,lat,place,geometry
BEVL_VMM_10,De Panne - Leopold,51.102,2.5772,De Panne,POINT (51.102 2.5772)
BEVL_VMM_100,Koksijde - Duinpark - Oostduinkerke,51.1385,2.6796,Koksijde,POINT (51.1385 2.6796)
BEVL_VMM_107760,Bocholt - Goolderheide,51.1739,5.5354,Bocholt,POINT (51.1739 5.5354)
BEVL_VMM_110,Koksijde - Groenendijk - Oostduinkerke,51.1448,2.6996,Koksijde,POINT (51.1448 2.6996)
BEVL_VMM_115,Nieuwpoort - Leopoldplein,51.1485,2.708,Nieuwpoort,POINT (51.1485 2.708)
BEVL_VMM_115600,Kinrooi Geerensheide,51.1323,5.7532,Kinrooi,POINT (51.1323 5.7532)
BEVL_VMM_115800,Kinrooi - Batven,51.1329,5.7267,Kinrooi,POINT (51.1329 5.7267)
BEVL_VMM_120,Nieuwpoort - Badinstallatie,51.1532,2.7185,Nieuwpoort,POINT (51.1532 2.7185)
BEVL_VMM_121500,Kinrooi - De Steenberg (Maas),51.1313,5.8162,Kinrooi,POINT (51.1313 5.8162)
BEVL_VMM_130,Middelkerke - St. Laureins - Westende,51.1672,2.7595,Middelkerke,POINT (51.1672 2.7595)
BEVL_VMM_136100,Maaseik - Wouterbron,51.0529,5.6299,Maaseik,POINT (51.0529 5.6299)
BEVL_VMM_139900,Maasmechelen - Kikmolen,50.9541,5.6613,Maasmechelen,POINT (50.9541 5.6613)
BEVL_VMM_140,Middelkerke - Meeuwenlaan - Westende,51.1724,2.7732,Middelkerke,POINT (51.1724 2.7732)
BEVL_VMM_142500,Lanaken - Sonnevijver (grote vijver),50.9181,5.6683,Lanaken,POINT (50.9181 5.6683)
BEVL_VMM_142550,Lanaken - Sonnevijver (kleine vijver),50.9193,5.6724,Lanaken,POINT (50.9193 5.6724)
BEVL_VMM_150,Middelkerke - Rotonde - Westende,51.1777,2.7857,Middelkerke,POINT (51.1777 2.7857)
BEVL_VMM_155,Middelkerke - Houyouxstraat,51.1821,2.7967,Middelkerke,POINT (51.1821 2.7967)
BEVL_VMM_160,Middelkerke - Casino-West,51.1884,2.8097,Middelkerke,POINT (51.1884 2.8097)
BEVL_VMM_162,Middelkerke - Excelsior,51.1913,2.8178,Middelkerke,POINT (51.1913 2.8178)
BEVL_VMM_170,Oostende - Raversijde-bad,51.2085,2.8581,Oostende,POINT (51.2085 2.8581)
BEVL_VMM_180,Oostende - Diksmuide,51.2152,2.8716,Oostende,POINT (51.2152 2.8716)
BEVL_VMM_183550,Wuustwezel - Keienven,51.3459,4.5482,Wuustwezel,POINT (51.3459 4.5482)
BEVL_VMM_185,Oostende - Northlaan,51.2222,2.8874,Oostende,POINT (51.2222 2.8874)
BEVL_VMM_190,Oostende - Koninginnelaan,51.2289,2.9023,Oostende,POINT (51.2289 2.9023)
BEVL_VMM_193,Oostende - Noodstrand-Christinastraat,51.2347,2.9133,Oostende,POINT (51.2347 2.9133)
