id,name,geometry,lat,long
IEWEBWL29_194_0100,Loughrea Lake,POINT (-8.563229460472572 53.18590786697443),53.18590786697443,-8.563229460472572
IESWBWC090_0000_0300,"Garrylucas, White Strand",POINT (-8.569455022772468 51.64010606196163),51.64010606196163,-8.569455022772468
IESWBWC040_0000_0100,Garryvoe,POINT (-8.002322263639252 51.85774931615556),51.85774931615556,-8.002322263639252
IESEBWC010_0000_0500,"Ballymoney, North Beach",POINT (-6.200983456314109 52.68021540947974),52.68021540947974,-6.200983456314109
IESEBWC010_0000_0300,Morriscastle,POINT (-6.2380812514316775 52.5137270354555),52.5137270354555,-6.2380812514316775
IENBBWC025_0000_0300,"Port, Lurganboy",POINT (-6.257430568672193 53.82704731530892),53.82704731530892,-6.257430568672193
IEEABWC140_0000_0300,Brittas Bay North,POINT (-6.05677381074796 52.88214582393999),52.88214582393999,-6.05677381074796
IEEABWL07_274_0100,"The Cut, Lough Lene",POINT (-7.1958124994647585 53.6594298395404),53.6594298395404,-7.1958124994647585
IESHBWL27_72_0100,"Ballyallia Lake, Ennis",POINT (-8.9712330750178 52.8750947697099),52.8750947697099,-8.9712330750178
IESHBWL25_191a_0300,Ballycuggeran,POINT (-8.46440211191724 52.83779214353898),52.83779214353898,-8.46440211191724
IESHBWL25_191a_0100,Bathing Place at Portumna,POINT (-8.210413888476626 53.08215747947041),53.08215747947041,-8.210413888476626
IESHBWL26_624_0100,Keeldra Lough,POINT (-7.772891272957993 53.91903049843134),53.91903049843134,-7.772891272957993
IESHBWC070_0000_0400,Kilkee,POINT (-9.650151522897943 52.68052373477986),52.68052373477986,-9.650151522897943
IESHBWL25_188_0100,"Lilliput, Lough Ennell",POINT (-7.434026468889726 53.44868918557824),53.44868918557824,-7.434026468889726
IESHBWL25_191a_0200,"Mountshannon, Lough Derg",POINT (-8.428160048669225 52.92930445911056),52.92930445911056,-8.428160048669225
IESHBWL26_703_0100,"Portnashangan, Lough Owel",POINT (-7.367907232498908 53.57522424013076),53.57522424013076,-7.367907232498908
IEWEBWC010_0000_0300,"An Trá Mór, Coill Rua, Indreabhán",POINT (-9.356267259520088 53.24092210847856),53.24092210847856,-9.356267259520088
IEWEBWT180_0100_0100,Céibh an Spidéil,POINT (-9.309673812844329 53.24063430305678),53.24063430305678,-9.309673812844329
IEWEBWC350_0000_0100,"Bertra Beach, Murrisk",POINT (-9.661196836419013 53.78931477795458),53.78931477795458,-9.661196836419013
IEWEBWC110_0000_0100,Bishopsquarter,POINT (-9.125945909700075 53.1344126487464),53.1344126487464,-9.125945909700075
IEWEBWC340_0000_0400,"Carrowmore Beach, Louisburgh",POINT (-9.82448710747173 53.77104570957566),53.77104570957566,-9.82448710747173
IEWEBWC010_0000_0200,"Cill Mhuirbhigh, Inis Mór",POINT (-9.749102876230843 53.131742890957014),53.131742890957014,-9.749102876230843
IEWEBWC250_0000_0300,"Dooega Beach, Achill Island",POINT (-10.020271888110116 53.92072970851196),53.92072970851196,-10.020271888110116
IEWEBWC360_0000_0400,"Dugort Beach, Achill Island",POINT (-10.024132064108965 54.01273295157339),54.01273295157339,-10.024132064108965
IEWEBWC360_0000_0200,"Elly Bay, Belmullet",POINT (-10.087198818058788 54.16184179956599),54.16184179956599,-10.087198818058788
IEWEBWC420_0000_0100,Enniscrone Beach,POINT (-9.10370520520907 54.21237048617722),54.21237048617722,-9.10370520520907
IEWEBWC360_0000_0300,"Golden Strand, Achill Island",POINT (-9.994651858212384 54.014232168855926),54.014232168855926,-9.994651858212384
IEWEBWC230_0000_0100,"Goirtín, Cloch na Rón",POINT (-9.959696312306217 53.37631385082386),53.37631385082386,-9.959696312306217
IEWEBWC250_0000_0200,"Keel Beach, Achill Island",POINT (-10.076989236933489 53.97184424422294),53.97184424422294,-10.076989236933489
IEWEBWC250_0000_0100,"Keem Beach, Achill Island",POINT (-10.193647664221904 53.96655369114392),53.96655369114392,-10.193647664221904
IEWEBWC420_0000_0200,"Ross Beach, Killala",POINT (-9.197896592494674 54.231982277051166),54.231982277051166,-9.197896592494674
IEWEBWC340_0000_0300,"Old Head Beach, Louisburgh",POINT (-9.76857720107395 53.777176082572545),53.777176082572545,-9.76857720107395
IEWEBWC360_0000_0100,"Mullaghroe Beach, Belmullet",POINT (-10.07538258279523 54.13867444858836),54.13867444858836,-10.07538258279523
IEWEBWC340_0000_0200,Mulranny Beach,POINT (-9.784701290370647 53.89717303299272),53.89717303299272,-9.784701290370647
IEWEBWC100_0000_0100,"Trá na bhForbacha, Na Forbacha",POINT (-9.225388448513215 53.24746090876153),53.24746090876153,-9.225388448513215
IEWEBWC400_0000_0100,"Rinroe Beach, Carrowtigue",POINT (-9.843063564986421 54.301995590022955),54.301995590022955,-9.843063564986421
IEWEBWC450_0000_0100,Rosses Point Beach,POINT (-8.574402585485437 54.30898240143225),54.30898240143225,-8.574402585485437
IEWEBWC170_0000_0200,Salthill Beach,POINT (-9.09222196612564 53.2545057663061),53.2545057663061,-9.09222196612564
IEWEBWC170_0000_0100,Silverstrand Beach,POINT (-9.126515488683603 53.24981075839505),53.24981075839505,-9.126515488683603
IEWEBWC010_0000_0400,"Trá na mBan, An Spidéal",POINT (-9.296420327381481 53.24320531566774),53.24320531566774,-9.296420327381481
IEWEBWC340_0000_0100,"Clare Island, Louisburgh",POINT (-9.952489441176292 53.80070451613458),53.80070451613458,-9.952489441176292
IEWEBWC200_0000_0100,"Trá an Dóilín, An Ceathrú Rua",POINT (-9.629732772769746 53.24693283983561),53.24693283983561,-9.629732772769746
IEWEBWC010_0000_0100,"Trá Chaladh Fínis, Carna",POINT (-9.782519208735124 53.30102762546162),53.30102762546162,-9.782519208735124
IEWEBWC160_0000_0100,"Traught, Kinvara",POINT (-8.988129369875988 53.17104813473692),53.17104813473692,-8.988129369875988
IESWBWC200_0000_0100,Baile an Sceilg (Ballinskelligs),POINT (-10.270936846757252 51.82146795753934),51.82146795753934,-10.270936846757252
IESWBWC150_0000_0200,Barley Cove,POINT (-9.776798398254467 51.46648345329832),51.46648345329832,-9.776798398254467
IESWBWC020_0000_0200,Youghal Claycastle,POINT (-7.858974309373406 51.933516401357934),51.933516401357934,-7.858974309373406
IESWBWC090_0000_0100,Coolmaine,POINT (-8.666267929774916 51.645286243278754),51.645286243278754,-8.666267929774916
IESWBWC150_0000_0100,Doire Fhíonáin (Derrynane),POINT (-10.138304176791033 51.758992541010215),51.758992541010215,-10.138304176791033
IESWBWC050_0000_0100,Fountainstown,POINT (-8.31046997906749 51.77474690768218),51.77474690768218,-8.31046997906749
IESWBWC090_0000_0200,Garretstown,POINT (-8.579478938271937 51.64231297246247),51.64231297246247,-8.579478938271937
IESWBWC230_0000_0200,Inch,POINT (-9.98310251658624 52.13591934650637),52.13591934650637,-9.98310251658624
IESWBWC100_0000_0100,Inchydoney West Beach,POINT (-8.863807663073953 51.594926278798276),51.594926278798276,-8.863807663073953
IESWBWC200_0000_0200,"Trá na hUíne (Inny Strand, Waterville)",POINT (-10.207577878649762 51.8395557292879),51.8395557292879,-10.207577878649762
IESWBWC230_0000_0400,Kells,POINT (-10.104351134752974 52.025777250935676),52.025777250935676,-10.104351134752974
IESWBWC110_0000_0200,"Owenahincha, Little Island Strand",POINT (-8.992608467236838 51.56342990162664),51.56342990162664,-8.992608467236838
IESWBWC020_0000_0100,Redbarn,POINT (-7.87090795148067 51.92431829338988),51.92431829338988,-7.87090795148067
IESWBWC230_0000_0300,"Rossbeigh, White Strand",POINT (-9.977285578695279 52.061918311742495),52.061918311742495,-9.977285578695279
IESWBWC010_0000_0100,Tragumna,POINT (-9.26585420091012 51.501487803045116),51.501487803045116,-9.26585420091012
IESWBWC230_0000_0100,Fionntrá (Ventry),POINT (-10.363313238270338 52.13047522922737),52.13047522922737,-10.363313238270338
IESWBWC110_0000_0100,"Warren, Cregane Strand",POINT (-9.013247463969101 51.56485344902194),51.56485344902194,-9.013247463969101
IESWBWC220_0000_0100,"White Strand, Caherciveen",POINT (-10.27629249614321 51.94371239651067),51.94371239651067,-10.27629249614321
IESWBWC020_0000_0300,Youghal Front Strand Beach,POINT (-7.847326910372029 51.93835489544153),51.93835489544153,-7.847326910372029
IESEBWC050_0000_0100,Ardmore Beach,POINT (-7.7214548701746555 51.95430083853206),51.95430083853206,-7.7214548701746555
IESEBWC050_0000_0200,Bunmahon Beach,POINT (-7.366860733641379 52.13806133077478),52.13806133077478,-7.366860733641379
IESEBWC140_0000_0100,Clonea Beach,POINT (-7.541090108155788 52.09662993753817),52.09662993753817,-7.541090108155788
IESEBWC010_0000_0400,"Courtown, North Beach",POINT (-6.225630513821676 52.647828875179535),52.647828875179535,-6.225630513821676
IESEBWC010_0000_0200,Curracloe,POINT (-6.362007739234602 52.38825683480794),52.38825683480794,-6.362007739234602
IESEBWT100_0100_0100,Duncannon,POINT (-6.933471248293555 52.219865499004314),52.219865499004314,-6.933471248293555
IESEBWC100_0000_0100,"Counsellors' Strand, Dunmore East",POINT (-6.991100543942601 52.15566528269466),52.15566528269466,-6.991100543942601
IESEBWC100_0000_0200,"Dunmore Strand, Dunmore East",POINT (-6.994052672050295 52.1543424345467),52.1543424345467,-6.994052672050295
IESEBWC010_0000_0100,Rosslare Strand,POINT (-6.385340366512409 52.273314091488515),52.273314091488515,-6.385340366512409
IESEBWC110_0000_0100,Tramore Beach,POINT (-7.144471099337669 52.158225978717184),52.158225978717184,-7.144471099337669
IEEABWC020_0000_0600,"Balbriggan, Front Strand Beach",POINT (-6.182419803603166 53.61271916910062),53.61271916910062,-6.182419803603166
IEEABWC100_0000_0300,Bray South Promenade,POINT (-6.095746579878985 53.20230395340419),53.20230395340419,-6.095746579878985
IEEABWC140_0000_0200,Brittas Bay South,POINT (-6.060171284320842 52.87759101018166),52.87759101018166,-6.060171284320842
IEEABWC140_0000_0100,Clogga,POINT (-6.145567057488734 52.762025182311),52.762025182311,-6.145567057488734
IEEABWC090_0000_0400,Dollymount Strand,POINT (-6.148595715465389 53.36626770419088),53.36626770419088,-6.148595715465389
IEEABWC020_0000_0100,"Donabate, Balcarrick Beach",POINT (-6.115785541830854 53.47640214467342),53.47640214467342,-6.115785541830854
IEEABWC100_0000_0200,Greystones South,POINT (-6.057953610397017 53.142758868831045),53.142758868831045,-6.057953610397017
IEEABWC100_0000_0400,Killiney,POINT (-6.111395149977248 53.25721830351605),53.25721830351605,-6.111395149977248
IEEABWC020_0000_0700,Laytown/Bettystown,POINT (-6.237390357575818 53.70053314108035),53.70053314108035,-6.237390357575818
IEEABWC020_0000_0400,Loughshinny Beach,POINT (-6.080816227129753 53.546279344266544),53.546279344266544,-6.080816227129753
IEEABWC070_0000_0200,"Portmarnock, Velvet Strand Beach",POINT (-6.121898507404567 53.43280737288965),53.43280737288965,-6.121898507404567
IEEABWC020_0000_0200,"Portrane, the Brook Beach",POINT (-6.107223904969345 53.49513781908029),53.49513781908029,-6.107223904969345
IEEABWC020_0000_0300,"Rush, South Beach",POINT (-6.095016286121852 53.515324491148725),53.515324491148725,-6.095016286121852
IEEABWC090_0000_0300,Sandymount Strand,POINT (-6.20652150710565 53.32529456486071),53.32529456486071,-6.20652150710565
IEEABWC090_0000_0100,Seapoint,POINT (-6.158616462457382 53.29694039136858),53.29694039136858,-6.158616462457382
IEEABWC100_0000_0100,Silver Strand,POINT (-6.0119463701260925 52.95333642467897),52.95333642467897,-6.0119463701260925
IEEABWC020_0000_0500,"Skerries, South Beach",POINT (-6.102773021391578 53.58260125153121),53.58260125153121,-6.102773021391578
IEEABWC070_0000_0100,"Sutton, Burrow Beach",POINT (-6.096960996371509 53.39315123085613),53.39315123085613,-6.096960996371509
IENBBWC025_0000_0200,Clogherhead,POINT (-6.234598385479559 53.78561327155057),53.78561327155057,-6.234598385479559
IENBBWC025_0000_0100,Seapoint,POINT (-6.241718415686047 53.756137265587434),53.756137265587434,-6.241718415686047
IENBBWC040_0000_0100,Shelling Hill/Templetown,POINT (-6.147297398363051 53.9810804517681),53.9810804517681,-6.147297398363051
IENWBWC100_0000_0100,"Ballyhiernan, Fanad",POINT (-7.7031038172842345 55.24982428950173),55.24982428950173,-7.7031038172842345
IENWBWC020_0000_0100,Bundoran,POINT (-8.278343321331489 54.482590769543144),54.482590769543144,-8.278343321331489
IENWBWC160_0000_0200,Carrickfinn,POINT (-8.348233410730753 55.04244983270722),55.04244983270722,-8.348233410730753
IENWBWC230_0000_0200,Culdaff,POINT (-7.146344169778584 55.293970309136725),55.293970309136725,-7.146344169778584
IENWBWC190_0000_0100,Downings,POINT (-7.841762466838683 55.19290256548708),55.19290256548708,-7.841762466838683
IENWBWC100_0000_0200,Drumnatinny,POINT (-8.087485393124368 55.16298284667476),55.16298284667476,-8.087485393124368
IENWBWC070_0000_0100,Fintra,POINT (-8.487836854025065 54.63512828099207),54.63512828099207,-8.487836854025065
IENWBWC190_0000_0300,Portnablagh,POINT (-7.927230750466943 55.18102840155074),55.18102840155074,-7.927230750466943
IENWBWT220_0400_0100,"Lady's Bay, Buncrana",POINT (-7.463494014808072 55.131435463337226),55.131435463337226,-7.463494014808072
