zwemwaterlocatie_id,naam,latitude,longitude
1185,Voorveldse Polder,52.1005,5.1522
955,De Heide,52.9406,5.921
956,Spoekeplas,52.8795,6.1331
957,Canadameer,52.936,6.2817
959,Smeliester Sân,53.1071,6.0216
960,De Leien,53.1564,6.0802
961,Zwemplaats Earnewâld,53.1315,5.9559
962,Dagrecreatieterrein Klein Zwitserland,53.1931,6.0316
963,Berkenplas,53.485,6.1748
964,De Vleyen,53.4486,5.779
965,Lytse Wielen,53.214,5.8713
966,Grutte Wielen,53.2189,5.8697
967,Terherne,53.0409,5.7659
968,Pottenstrand,53.0344,5.7245
969,Langwarder Wielen,52.9627,5.7216
970,Tsjûkemar Ulesprong,52.9128,5.7813
971,Nannewiid,52.9509,5.8716
972,De Driesprong,52.8592,5.85
973,Zwem- en surfcentrum Balk,52.9072,5.598
975,Elahuizen De Lange Hoek,52.9391,5.5632
976,Indijk,52.9459,5.5993
977,"Heeg ,",52.9645,5.6053
978,Aldegeaster Brekken,52.9964,5.5447
979,Duinmeertje Hee,53.3797,5.2544
980,Rohel,52.9116,5.8072
981,De Woudfennen,52.9628,5.7524
982,Skipsleat,52.9748,5.8137
983,Eeltsjemar,53.2821,5.9372
985,Watermolen,53.1676,6.2215
986,Swimplak Eastermar,53.1789,6.0496
987,De Swanneblom,53.2189,5.6288
988,De Vlinderslag,52.8782,6.0215
989,Zwarte Dennen,52.6245,6.2726
990,Agnietenplas Oost,52.5407,6.1316
991,Agnietenplas West,52.5405,6.1291
993,Milligerplas Zuid,52.5449,6.0559
994,Summercamp Heino,52.4212,6.2325
995,Vakantiepark Heino,52.4395,6.2784
996,Wijthmenerplas Oost,52.4966,6.1581
997,Wijthmenerplas Noord,52.4988,6.1496
998,Wijthmenerplas Zuid,52.4955,6.1513
999,Vakantiepark Hellendoorn Plas Noord,52.4081,6.436
1000,Vakantiepark Hellendoorn Plas Zuid,52.4068,6.436
1001,Heidepark Lemelerveld,52.4417,6.3513
1002,Park Reggewold,52.5044,6.3819
1003,Kolkbad Den Nul,52.3637,6.1105
1004,Camping En Groepsaccomodatie De Bovenberg,52.2652,6.5218
1005,Recreatiepark De Tolplas,52.415,6.5609
1006,Kroeze Danne,52.2626,6.6636
1007,Camping Het Berkenven,52.4432,6.684
1008,Camping 't Grasbroek,52.298,6.6495
1009,Het Lageveld; Zwemvijver,52.3815,6.5906
1010,Het Lageveld; Kleutervijver,52.3817,6.5885
1011,Tuindorpbad,52.2557,6.7791
1012,Hulsbeek; Strand 1,52.3059,6.892
1013,Hulsbeek; Strand 2,52.3062,6.8879
